================ Training Loss (Sat Mar  7 14:38:49 2026) ================
(epoch: 13, iters: 20, time: 0.003, data: 0.001) G_A: 0.000 G_B: 0.064 D_A: 0.000 D_B: 0.477 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 7.514 feedback_B: 0.000 idt_A: 0.000 idt_B: 0.000 
(epoch: 13, iters: 30, time: 0.003, data: 0.001) G_A: 0.000 G_B: 0.167 D_A: 0.000 D_B: 0.513 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 7.334 feedback_B: 0.000 idt_A: 0.000 idt_B: 0.000 
(epoch: 13, iters: 40, time: 0.003, data: 0.001) G_A: 0.000 G_B: 0.491 D_A: 0.000 D_B: 5.381 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 7.460 feedback_B: 0.000 idt_A: 0.000 idt_B: 0.000 
(epoch: 14, iters: 0, time: 0.003, data: 0.001) G_A: 0.000 G_B: 1.420 D_A: 0.000 D_B: 0.069 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 7.326 feedback_B: 0.000 idt_A: 0.000 idt_B: 0.000 
(epoch: 14, iters: 10, time: 0.003, data: 0.001) G_A: 0.000 G_B: 0.458 D_A: 0.000 D_B: 15.113 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 7.383 feedback_B: 0.000 idt_A: 0.000 idt_B: 0.000 
(epoch: 14, iters: 20, time: 0.003, data: 0.001) G_A: 0.000 G_B: 0.174 D_A: 0.000 D_B: 1.179 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 6.939 feedback_B: 0.000 idt_A: 0.000 idt_B: 0.000 
(epoch: 14, iters: 30, time: 0.003, data: 0.001) G_A: 0.000 G_B: 0.316 D_A: 0.000 D_B: 0.114 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 7.214 feedback_B: 0.000 idt_A: 0.000 idt_B: 0.000 
(epoch: 14, iters: 40, time: 0.003, data: 0.001) G_A: 0.000 G_B: 6.405 D_A: 0.000 D_B: 9.809 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 6.971 feedback_B: 0.000 idt_A: 0.000 idt_B: 0.000 
(epoch: 15, iters: 0, time: 0.003, data: 0.001) G_A: 0.000 G_B: 0.753 D_A: 0.000 D_B: 0.038 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 7.044 feedback_B: 0.000 idt_A: 0.000 idt_B: 0.000 
(epoch: 15, iters: 10, time: 0.003, data: 0.001) G_A: 0.000 G_B: 0.034 D_A: 0.000 D_B: 0.426 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 7.145 feedback_B: 0.000 idt_A: 0.000 idt_B: 0.000 
(epoch: 15, iters: 20, time: 0.003, data: 0.001) G_A: 0.000 G_B: 1.210 D_A: 0.000 D_B: 0.024 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 7.212 feedback_B: 0.000 idt_A: 0.000 idt_B: 0.000 
(epoch: 15, iters: 30, time: 0.003, data: 0.001) G_A: 0.000 G_B: 2.173 D_A: 0.000 D_B: 17.042 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 6.968 feedback_B: 0.000 idt_A: 0.000 idt_B: 0.000 
(epoch: 15, iters: 40, time: 0.003, data: 0.001) G_A: 0.000 G_B: 0.543 D_A: 0.000 D_B: 7.123 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 7.436 feedback_B: 0.000 idt_A: 0.000 idt_B: 0.000 
(epoch: 16, iters: 0, time: 0.003, data: 0.001) G_A: 0.000 G_B: 0.007 D_A: 0.000 D_B: 7.233 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 7.027 feedback_B: 0.000 idt_A: 0.000 idt_B: 0.000 
(epoch: 16, iters: 10, time: 0.003, data: 0.001) G_A: 0.000 G_B: 0.013 D_A: 0.000 D_B: 4.221 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 6.995 feedback_B: 0.000 idt_A: 0.000 idt_B: 0.000 
(epoch: 16, iters: 20, time: 0.004, data: 0.001) G_A: 0.000 G_B: 4.779 D_A: 0.000 D_B: 16.157 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 7.125 feedback_B: 0.000 idt_A: 0.000 idt_B: 0.000 
(epoch: 16, iters: 30, time: 0.003, data: 0.001) G_A: 0.000 G_B: 0.831 D_A: 0.000 D_B: 5.551 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 7.139 feedback_B: 0.000 idt_A: 0.000 idt_B: 0.000 
(epoch: 16, iters: 40, time: 0.003, data: 0.001) G_A: 0.000 G_B: 0.067 D_A: 0.000 D_B: 1.699 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 7.225 feedback_B: 0.000 idt_A: 0.000 idt_B: 0.000 
(epoch: 17, iters: 0, time: 0.003, data: 0.001) G_A: 0.000 G_B: 0.313 D_A: 0.000 D_B: 4.141 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 7.027 feedback_B: 0.000 idt_A: 0.000 idt_B: 0.000 
(epoch: 17, iters: 10, time: 0.004, data: 0.001) G_A: 0.000 G_B: 2.065 D_A: 0.000 D_B: 0.629 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 6.689 feedback_B: 0.000 idt_A: 0.000 idt_B: 0.000 
(epoch: 17, iters: 20, time: 0.003, data: 0.001) G_A: 0.000 G_B: 2.312 D_A: 0.000 D_B: 3.933 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 6.904 feedback_B: 0.000 idt_A: 0.000 idt_B: 0.000 
(epoch: 17, iters: 30, time: 0.003, data: 0.001) G_A: 0.000 G_B: 5.596 D_A: 0.000 D_B: 1.749 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 7.039 feedback_B: 0.000 idt_A: 0.000 idt_B: 0.000 
(epoch: 17, iters: 40, time: 0.003, data: 0.001) G_A: 0.000 G_B: 1.607 D_A: 0.000 D_B: 1.499 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 6.789 feedback_B: 0.000 idt_A: 0.000 idt_B: 0.000 
(epoch: 18, iters: 0, time: 0.003, data: 0.001) G_A: 0.000 G_B: 0.015 D_A: 0.000 D_B: 7.376 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 6.830 feedback_B: 0.000 idt_A: 0.000 idt_B: 0.000 
(epoch: 18, iters: 10, time: 0.004, data: 0.001) G_A: 0.000 G_B: 3.809 D_A: 0.000 D_B: 22.666 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 6.935 feedback_B: 0.000 idt_A: 0.000 idt_B: 0.000 
(epoch: 18, iters: 20, time: 0.003, data: 0.001) G_A: 0.000 G_B: 0.108 D_A: 0.000 D_B: 1.004 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 6.716 feedback_B: 0.000 idt_A: 0.000 idt_B: 0.000 
(epoch: 18, iters: 30, time: 0.003, data: 0.001) G_A: 0.000 G_B: 0.265 D_A: 0.000 D_B: 0.122 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 7.007 feedback_B: 0.000 idt_A: 0.000 idt_B: 0.000 
(epoch: 18, iters: 40, time: 0.003, data: 0.001) G_A: 0.000 G_B: 2.279 D_A: 0.000 D_B: 4.947 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 6.240 feedback_B: 0.000 idt_A: 0.000 idt_B: 0.000 
(epoch: 19, iters: 0, time: 0.003, data: 0.001) G_A: 0.000 G_B: 0.308 D_A: 0.000 D_B: 1.469 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 6.515 feedback_B: 0.000 idt_A: 0.000 idt_B: 0.000 
(epoch: 19, iters: 10, time: 0.003, data: 0.001) G_A: 0.000 G_B: 0.516 D_A: 0.000 D_B: 0.893 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 6.831 feedback_B: 0.000 idt_A: 0.000 idt_B: 0.000 
(epoch: 19, iters: 20, time: 0.003, data: 0.001) G_A: 0.000 G_B: 1.178 D_A: 0.000 D_B: 9.067 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 6.682 feedback_B: 0.000 idt_A: 0.000 idt_B: 0.000 
(epoch: 19, iters: 30, time: 0.003, data: 0.001) G_A: 0.000 G_B: 7.529 D_A: 0.000 D_B: 44.548 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 6.252 feedback_B: 0.000 idt_A: 0.000 idt_B: 0.000 
(epoch: 19, iters: 40, time: 0.003, data: 0.001) G_A: 0.000 G_B: 1.131 D_A: 0.000 D_B: 2.220 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 6.733 feedback_B: 0.000 idt_A: 0.000 idt_B: 0.000 
(epoch: 20, iters: 0, time: 0.003, data: 0.001) G_A: 0.000 G_B: 0.221 D_A: 0.000 D_B: 3.741 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 6.473 feedback_B: 0.000 idt_A: 0.000 idt_B: 0.000 
(epoch: 20, iters: 10, time: 0.003, data: 0.001) G_A: 0.000 G_B: 0.384 D_A: 0.000 D_B: 2.526 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 6.249 feedback_B: 0.000 idt_A: 0.000 idt_B: 0.000 
