Agilent_Probe_Name	GeneSymbol	GeneName	GO
UKv4_A_23_P317098	KLC3	kinesin light chain 3	GO:0003777(microtubule motor activity)|GO:0005515(protein binding)|GO:0005737(cytoplasm)|GO:0005871(kinesin complex)|GO:0005874(microtubule)|GO:0008017(microtubule binding)|GO:0008808(cardiolipin synthase activity)|GO:0009434(microtubule-based flagellum)|
UKv4_A_23_P75749	GLYAT	glycine-N-acyltransferase	GO:0005739(mitochondrion)|GO:0008415(acyltransferase activity)|GO:0016740(transferase activity)|GO:0047961(glycine N-acyltransferase activity)
UKv4_A_23_P14564	GPR65	G protein-coupled receptor 65	GO:0001584(rhodopsin-like receptor activity)|GO:0004872(receptor activity)|GO:0005887(integral to plasma membrane)|GO:0006915(apoptosis)|GO:0006955(immune response)|GO:0007165(signal transduction)|GO:0007186(G-protein coupled receptor protein signaling pa
UKv4_A_23_P92281	GTPBP8	GTP-binding protein 8 (putative)	GO:0005525(GTP binding)|GO:0005622(intracellular)
UKv4_A_23_P41716	GNB2L1	guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1	GO:0005737=cytoplasm|GO:0005737=cytoplasm|GO:0043025=cell soma|GO:0005102=receptor binding
UKv4_A_23_P389588	TCF7L2	transcription factor 7-like 2 (T-cell specific, HMG-box)	GO:0001568=blood vessel development|GO:0006350=transcription|GO:0006355=regulation of transcription, DNA-dependent|GO:0006357=regulation of transcription from RNA polymerase II promoter|GO:0006916=anti-apoptosis|GO:0007050=cell cycle arrest|GO:0008283=cel
UKv4_A_23_P18939	RASA1	RAS p21 protein activator (GTPase activating protein) 1	GO:0000910(cytokinesis)|GO:0001570(vasculogenesis)|GO:0001726(ruffle)|GO:0001953(negative regulation of cell-matrix adhesion)|GO:0005099(Ras GTPase activator activity)|GO:0005102(receptor binding)|GO:0005622(intracellular)|GO:0005737(cytoplasm)|GO:0005886
UKv4_A_23_P146084	GSR	glutathione reductase	GO:0004362(glutathione-disulfide reductase activity)|GO:0005737(cytoplasm)|GO:0005739(mitochondrion)|GO:0006118(electron transport)|GO:0006749(glutathione metabolic process)|GO:0045454(cell redox homeostasis)|GO:0050660(FAD binding)|GO:0050661(NADP bindin
UKv4_A_23_P152125	MVD	mevalonate (diphospho) decarboxylase	GO:0000166(nucleotide binding)|GO:0004163(diphosphomevalonate decarboxylase activity)|GO:0005524(ATP binding)|GO:0006695(cholesterol biosynthetic process)|GO:0008299(isoprenoid biosynthetic process)|GO:0016301(kinase activity)|GO:0016310(phosphorylation)|
UKv4_A_24_P163537	TMED4	transmembrane emp24 protein transport domain containing 4	GO:0006810=transport|GO:0043123=positive regulation of I-kappaB kinase/NF-kappaB cascade|GO:0016020=membrane|GO:0016021=integral to membrane|GO:0004871=signal transducer activity
UKv4_A_23_P38085	CARHSP1	calcium regulated heat stable protein 1, 24kDa	GO:0003677(DNA binding)|GO:0006355(regulation of transcription, DNA-dependent)|GO:0007242(intracellular signaling cascade)|GO:0019902(phosphatase binding)
UKv4_A_23_P45999	FBXO2	F-box protein 2	GO:0006464=protein modification process|GO:0006508=proteolysis|GO:0030163=protein catabolic process|GO:0005515=protein binding|GO:0004842=ubiquitin-protein ligase activity
UKv4_A_23_P124476	CLCN3	chloride channel 3	GO:0005247(voltage-gated chloride channel activity)|GO:0005515(protein binding)|GO:0005769(early endosome)|GO:0005770(late endosome)|GO:0005794(Golgi apparatus)|GO:0006811(ion transport)|GO:0006821(chloride transport)|GO:0006885(regulation of pH)|GO:00099
UKv4_A_23_P119763	ABCG5	ATP-binding cassette, sub-family G (WHITE), member 5 (sterolin 1)	GO:0000166(nucleotide binding)|GO:0003674(molecular_function)|GO:0005524(ATP binding)|GO:0005575(cellular_component)|GO:0006810(transport)|GO:0016020(membrane)|GO:0016021(integral to membrane)|GO:0016887(ATPase activity)|GO:0030299(cholesterol absorption)
