================ Training Loss (Thu Sep 25 20:11:58 2025) ================
(epoch: 147, iters: 50, time: 0.306, data: 0.382) D_A: 1.257 G_A: 0.224 cycle_A: 8.023 idt_A: 15.929 D_B: 62.317 G_B: 0.143 cycle_B: 10.539 idt_B: 3.960 median_A: 95.713 median_B: 32.255 
(epoch: 149, iters: 50, time: 0.306, data: 0.430) D_A: 0.293 G_A: 0.013 cycle_A: 8.065 idt_A: 15.787 D_B: 48.952 G_B: 5.740 cycle_B: 7.456 idt_B: 3.947 median_A: 95.611 median_B: 32.205 
(epoch: 151, iters: 50, time: 0.306, data: 0.426) D_A: 7.425 G_A: 0.258 cycle_A: 8.104 idt_A: 15.560 D_B: 38.592 G_B: 1.809 cycle_B: 9.077 idt_B: 3.948 median_A: 95.640 median_B: 32.291 
(epoch: 153, iters: 50, time: 0.307, data: 0.699) D_A: 0.206 G_A: 0.053 cycle_A: 8.165 idt_A: 15.267 D_B: 33.607 G_B: 0.373 cycle_B: 8.685 idt_B: 3.955 median_A: 95.561 median_B: 32.254 
(epoch: 155, iters: 50, time: 0.307, data: 0.636) D_A: 0.498 G_A: 0.023 cycle_A: 8.218 idt_A: 14.963 D_B: 34.391 G_B: 4.420 cycle_B: 7.521 idt_B: 3.965 median_A: 95.420 median_B: 32.198 
(epoch: 157, iters: 50, time: 0.306, data: 0.680) D_A: 0.358 G_A: 0.059 cycle_A: 8.118 idt_A: 14.611 D_B: 52.340 G_B: 1.913 cycle_B: 10.277 idt_B: 3.974 median_A: 95.347 median_B: 32.168 
(epoch: 159, iters: 50, time: 0.306, data: 0.690) D_A: 0.507 G_A: 0.136 cycle_A: 8.098 idt_A: 14.204 D_B: 27.609 G_B: 0.387 cycle_B: 9.179 idt_B: 3.994 median_A: 95.497 median_B: 32.139 
(epoch: 161, iters: 50, time: 0.306, data: 0.700) D_A: 0.352 G_A: 0.149 cycle_A: 8.193 idt_A: 13.753 D_B: 20.921 G_B: 0.186 cycle_B: 13.517 idt_B: 4.341 median_A: 95.267 median_B: 32.151 
(epoch: 163, iters: 50, time: 0.306, data: 0.855) D_A: 0.514 G_A: 0.250 cycle_A: 10.739 idt_A: 101.100 D_B: 22.062 G_B: 1.106 cycle_B: 64.621 idt_B: 4.138 median_A: 96.309 median_B: 306.411 
(epoch: 164, iters: 50, time: 0.305, data: 0.849) D_A: 0.429 G_A: 2.016 cycle_A: 8.083 idt_A: 13.953 D_B: 20.690 G_B: 1.147 cycle_B: 8.019 idt_B: 4.128 median_A: 95.187 median_B: 32.368 
(epoch: 166, iters: 50, time: 0.304, data: 1.176) D_A: 1.150 G_A: 0.189 cycle_A: 8.076 idt_A: 13.513 D_B: 17.133 G_B: 0.769 cycle_B: 7.771 idt_B: 4.035 median_A: 95.106 median_B: 31.533 
(epoch: 168, iters: 50, time: 0.305, data: 0.865) D_A: 0.850 G_A: 0.051 cycle_A: 8.092 idt_A: 16.710 D_B: 16.423 G_B: 2.047 cycle_B: 7.337 idt_B: 3.998 median_A: 95.086 median_B: 32.566 
(epoch: 170, iters: 50, time: 0.305, data: 0.904) D_A: 0.999 G_A: 0.138 cycle_A: 8.719 idt_A: 16.627 D_B: 11.353 G_B: 0.824 cycle_B: 64.739 idt_B: 4.175 median_A: 96.313 median_B: 32.420 
(epoch: 172, iters: 50, time: 0.305, data: 1.109) D_A: 446.721 G_A: 321.863 cycle_A: 8.454 idt_A: 17.089 D_B: 11.544 G_B: 1.022 cycle_B: 64.541 idt_B: 4.092 median_A: 96.313 median_B: 35.302 
(epoch: 174, iters: 50, time: 0.306, data: 1.187) D_A: 193.591 G_A: 7678.924 cycle_A: 11.052 idt_A: 83.409 D_B: 7.637 G_B: 3.771 cycle_B: 38.476 idt_B: 4.789 median_A: 96.417 median_B: 248.169 
(epoch: 176, iters: 50, time: 0.307, data: 1.111) D_A: 146.794 G_A: 311.561 cycle_A: 12.102 idt_A: 109.599 D_B: 5.492 G_B: 0.879 cycle_B: 64.188 idt_B: 23.313 median_A: 96.313 median_B: 324.388 
(epoch: 177, iters: 50, time: 0.306, data: 1.045) D_A: 37.686 G_A: 148.425 cycle_A: 27.211 idt_A: 21.856 D_B: 10.668 G_B: 0.782 cycle_B: 64.670 idt_B: 4.107 median_A: 96.313 median_B: 57.260 
(epoch: 179, iters: 50, time: 0.306, data: 0.243) D_A: 0.522 G_A: 0.015 cycle_A: 8.202 idt_A: 16.743 D_B: 9.756 G_B: 0.666 cycle_B: 64.567 idt_B: 4.039 median_A: 96.314 median_B: 32.843 
(epoch: 181, iters: 50, time: 0.305, data: 0.218) D_A: 0.128 G_A: 0.246 cycle_A: 8.013 idt_A: 16.612 D_B: 8.441 G_B: 0.515 cycle_B: 64.349 idt_B: 4.012 median_A: 96.314 median_B: 32.638 
(epoch: 183, iters: 50, time: 0.307, data: 0.250) D_A: 1.594 G_A: 0.477 cycle_A: 8.703 idt_A: 16.599 D_B: 6.056 G_B: 0.836 cycle_B: 64.029 idt_B: 4.051 median_A: 96.315 median_B: 32.711 
(epoch: 185, iters: 50, time: 0.305, data: 0.280) D_A: 21.750 G_A: 0.514 cycle_A: 23.078 idt_A: 166.893 D_B: 0.795 G_B: 1.367 cycle_B: 64.012 idt_B: 6.245 median_A: 96.311 median_B: 504.736 
(epoch: 186, iters: 50, time: 0.305, data: 0.277) D_A: 18.641 G_A: 3.671 cycle_A: 14.628 idt_A: 46.370 D_B: 2.977 G_B: 0.314 cycle_B: 60.505 idt_B: 6.443 median_A: 89.908 median_B: 137.561 
(epoch: 188, iters: 50, time: 0.306, data: 0.233) D_A: 0.142 G_A: 0.407 cycle_A: 9.119 idt_A: 42.392 D_B: 10.682 G_B: 2.979 cycle_B: 52.945 idt_B: 4.521 median_A: 89.038 median_B: 125.994 
(epoch: 190, iters: 50, time: 0.306, data: 0.235) D_A: 0.543 G_A: 0.006 cycle_A: 8.119 idt_A: 33.022 D_B: 21.506 G_B: 15.388 cycle_B: 43.824 idt_B: 4.349 median_A: 92.142 median_B: 98.767 
(epoch: 192, iters: 50, time: 0.306, data: 0.294) D_A: 0.339 G_A: 0.135 cycle_A: 7.832 idt_A: 20.031 D_B: 17.373 G_B: 10.403 cycle_B: 26.084 idt_B: 3.923 median_A: 91.723 median_B: 56.634 
(epoch: 194, iters: 50, time: 0.306, data: 0.286) D_A: 1.275 G_A: 0.249 cycle_A: 7.771 idt_A: 14.550 D_B: 12.057 G_B: 5.670 cycle_B: 14.620 idt_B: 3.891 median_A: 91.297 median_B: 35.777 
(epoch: 196, iters: 50, time: 0.305, data: 0.292) D_A: 0.645 G_A: 0.000 cycle_A: 7.765 idt_A: 12.311 D_B: 9.813 G_B: 1.835 cycle_B: 10.240 idt_B: 3.882 median_A: 90.853 median_B: 26.356 
(epoch: 198, iters: 50, time: 0.305, data: 0.289) D_A: 1.207 G_A: 0.095 cycle_A: 7.772 idt_A: 10.087 D_B: 6.743 G_B: 0.210 cycle_B: 8.237 idt_B: 3.880 median_A: 90.198 median_B: 21.679 
(epoch: 200, iters: 50, time: 0.306, data: 0.293) D_A: 3.356 G_A: 0.143 cycle_A: 8.319 idt_A: 8.808 D_B: 5.045 G_B: 0.099 cycle_B: 7.692 idt_B: 3.900 median_A: 89.370 median_B: 19.638 
(epoch: 202, iters: 50, time: 0.305, data: 0.257) D_A: 0.958 G_A: 0.015 cycle_A: 7.801 idt_A: 7.035 D_B: 4.253 G_B: 0.562 cycle_B: 7.310 idt_B: 3.878 median_A: 88.525 median_B: 16.544 
(epoch: 204, iters: 50, time: 0.307, data: 0.301) D_A: 2.323 G_A: 0.006 cycle_A: 7.760 idt_A: 6.106 D_B: 3.809 G_B: 0.850 cycle_B: 7.287 idt_B: 3.874 median_A: 87.698 median_B: 15.572 
(epoch: 206, iters: 50, time: 0.306, data: 0.345) D_A: 1.324 G_A: 0.225 cycle_A: 7.741 idt_A: 5.374 D_B: 3.472 G_B: 0.873 cycle_B: 7.267 idt_B: 3.871 median_A: 86.844 median_B: 14.707 
(epoch: 208, iters: 50, time: 0.305, data: 0.278) D_A: 0.396 G_A: 0.046 cycle_A: 7.749 idt_A: 12.676 D_B: 2.928 G_B: 0.833 cycle_B: 7.246 idt_B: 3.876 median_A: 85.917 median_B: 23.435 
(epoch: 210, iters: 50, time: 0.305, data: 0.296) D_A: 1.060 G_A: 0.000 cycle_A: 7.744 idt_A: 11.197 D_B: 3.240 G_B: 0.879 cycle_B: 7.201 idt_B: 3.876 median_A: 85.032 median_B: 17.860 
(epoch: 212, iters: 50, time: 0.307, data: 0.315) D_A: 0.472 G_A: 0.057 cycle_A: 7.740 idt_A: 10.223 D_B: 2.611 G_B: 0.878 cycle_B: 7.184 idt_B: 3.876 median_A: 84.097 median_B: 15.216 
