================ Training Loss (Wed Oct  1 14:04:46 2025) ================
(epoch: 866, iters: 10, time: 0.228, data: 0.243) D_A: 0.217 G_A: 0.389 cycle_A: 2.382 idt_A: 1.898 D_B: 0.435 G_B: 0.153 cycle_B: 4.050 idt_B: 1.075 median_A: 16.915 median_B: 12.514 
(epoch: 875, iters: 10, time: 0.226, data: 0.251) D_A: 1.447 G_A: 0.045 cycle_A: 2.025 idt_A: 1.861 D_B: 4.727 G_B: 0.342 cycle_B: 4.105 idt_B: 0.950 median_A: 16.304 median_B: 12.117 
(epoch: 884, iters: 10, time: 0.225, data: 0.252) D_A: 3.653 G_A: 2.126 cycle_A: 2.448 idt_A: 1.877 D_B: 0.080 G_B: 0.854 cycle_B: 4.743 idt_B: 0.998 median_A: 15.556 median_B: 11.230 
(epoch: 893, iters: 10, time: 0.227, data: 0.267) D_A: 9.702 G_A: 10.448 cycle_A: 2.091 idt_A: 1.912 D_B: 0.428 G_B: 0.001 cycle_B: 4.317 idt_B: 0.961 median_A: 14.052 median_B: 10.446 
(epoch: 902, iters: 10, time: 0.225, data: 0.285) D_A: 1.645 G_A: 1.061 cycle_A: 3.953 idt_A: 1.930 D_B: 0.204 G_B: 0.131 cycle_B: 4.530 idt_B: 0.888 median_A: 12.822 median_B: 9.945 
(epoch: 911, iters: 10, time: 0.226, data: 0.293) D_A: 2.523 G_A: 0.011 cycle_A: 2.470 idt_A: 1.919 D_B: 1.200 G_B: 0.287 cycle_B: 3.470 idt_B: 0.829 median_A: 11.856 median_B: 9.148 
(epoch: 920, iters: 10, time: 0.227, data: 0.294) D_A: 0.591 G_A: 1.402 cycle_A: 2.753 idt_A: 1.794 D_B: 1.925 G_B: 1.038 cycle_B: 3.280 idt_B: 0.863 median_A: 11.432 median_B: 8.046 
(epoch: 929, iters: 10, time: 0.227, data: 0.305) D_A: 1.198 G_A: 0.293 cycle_A: 3.281 idt_A: 1.835 D_B: 1.114 G_B: 0.040 cycle_B: 3.112 idt_B: 0.952 median_A: 11.511 median_B: 8.157 
(epoch: 938, iters: 10, time: 0.228, data: 0.316) D_A: 5.626 G_A: 4.016 cycle_A: 4.708 idt_A: 1.826 D_B: 0.704 G_B: 0.080 cycle_B: 3.955 idt_B: 0.981 median_A: 10.691 median_B: 7.977 
(epoch: 947, iters: 10, time: 0.226, data: 0.204) D_A: 1.254 G_A: 0.236 cycle_A: 3.090 idt_A: 1.791 D_B: 3.605 G_B: 0.002 cycle_B: 2.668 idt_B: 0.964 median_A: 11.179 median_B: 7.994 
(epoch: 956, iters: 10, time: 0.225, data: 0.203) D_A: 0.256 G_A: 0.355 cycle_A: 1.986 idt_A: 1.882 D_B: 3.741 G_B: 0.028 cycle_B: 3.385 idt_B: 1.031 median_A: 11.440 median_B: 8.009 
(epoch: 965, iters: 10, time: 0.226, data: 0.237) D_A: 0.341 G_A: 0.172 cycle_A: 2.377 idt_A: 1.789 D_B: 0.275 G_B: 0.100 cycle_B: 2.921 idt_B: 0.980 median_A: 10.251 median_B: 7.289 
(epoch: 974, iters: 10, time: 0.226, data: 0.212) D_A: 0.384 G_A: 0.528 cycle_A: 6.000 idt_A: 2.090 D_B: 4.086 G_B: 0.218 cycle_B: 4.114 idt_B: 0.971 median_A: 11.119 median_B: 7.023 
(epoch: 983, iters: 10, time: 0.225, data: 0.257) D_A: 0.072 G_A: 0.202 cycle_A: 5.125 idt_A: 1.721 D_B: 1.716 G_B: 0.233 cycle_B: 2.719 idt_B: 0.924 median_A: 9.881 median_B: 6.479 
(epoch: 992, iters: 10, time: 0.224, data: 0.266) D_A: 0.379 G_A: 0.719 cycle_A: 4.177 idt_A: 1.811 D_B: 0.078 G_B: 0.367 cycle_B: 2.301 idt_B: 1.057 median_A: 9.660 median_B: 6.029 
