================ Training Loss (Fri Sep 19 16:46:06 2025) ================
(epoch: 116, iters: 50, time: 0.036, data: 0.134) D_A: 0.523 G_A: 0.002 cycle_A: 3.834 idt_A: 1.644 D_B: 0.563 G_B: 0.018 cycle_B: 4.494 idt_B: 1.419 median_A: 2.784 median_B: 4.553 
(epoch: 118, iters: 50, time: 0.037, data: 0.132) D_A: 0.217 G_A: 0.040 cycle_A: 3.246 idt_A: 1.615 D_B: 2.004 G_B: 0.820 cycle_B: 4.139 idt_B: 1.397 median_A: 2.705 median_B: 4.166 
(epoch: 120, iters: 50, time: 0.037, data: 0.164) D_A: 0.048 G_A: 0.020 cycle_A: 3.678 idt_A: 1.619 D_B: 0.660 G_B: 0.007 cycle_B: 4.155 idt_B: 1.405 median_A: 2.709 median_B: 4.176 
(epoch: 122, iters: 50, time: 0.037, data: 0.131) D_A: 0.999 G_A: 0.150 cycle_A: 4.067 idt_A: 1.632 D_B: 1.368 G_B: 0.279 cycle_B: 4.243 idt_B: 1.473 median_A: 2.729 median_B: 4.246 
(epoch: 124, iters: 50, time: 0.037, data: 0.130) D_A: 0.180 G_A: 0.292 cycle_A: 4.206 idt_A: 1.652 D_B: 0.529 G_B: 0.090 cycle_B: 4.607 idt_B: 1.519 median_A: 2.725 median_B: 4.571 
(epoch: 126, iters: 50, time: 0.035, data: 0.131) D_A: 2.151 G_A: 2.164 cycle_A: 3.821 idt_A: 1.622 D_B: 0.837 G_B: 1.062 cycle_B: 4.287 idt_B: 1.485 median_A: 2.662 median_B: 4.335 
(epoch: 128, iters: 50, time: 0.037, data: 0.138) D_A: 0.015 G_A: 0.247 cycle_A: 3.359 idt_A: 1.611 D_B: 0.566 G_B: 0.002 cycle_B: 4.363 idt_B: 1.414 median_A: 2.655 median_B: 4.416 
(epoch: 130, iters: 50, time: 0.037, data: 0.140) D_A: 0.296 G_A: 0.129 cycle_A: 3.161 idt_A: 1.590 D_B: 0.592 G_B: 0.602 cycle_B: 4.182 idt_B: 1.365 median_A: 2.679 median_B: 4.175 
(epoch: 132, iters: 50, time: 0.037, data: 0.134) D_A: 0.267 G_A: 0.191 cycle_A: 3.950 idt_A: 1.565 D_B: 0.401 G_B: 0.078 cycle_B: 4.603 idt_B: 1.488 median_A: 2.730 median_B: 4.213 
(epoch: 134, iters: 50, time: 0.037, data: 0.133) D_A: 0.095 G_A: 0.067 cycle_A: 3.161 idt_A: 1.573 D_B: 0.409 G_B: 0.355 cycle_B: 4.058 idt_B: 1.355 median_A: 2.599 median_B: 4.090 
(epoch: 136, iters: 50, time: 0.037, data: 0.133) D_A: 0.375 G_A: 0.018 cycle_A: 4.565 idt_A: 1.515 D_B: 0.714 G_B: 0.060 cycle_B: 4.305 idt_B: 1.704 median_A: 2.777 median_B: 4.273 
(epoch: 138, iters: 50, time: 0.036, data: 0.131) D_A: 0.623 G_A: 0.786 cycle_A: 3.638 idt_A: 1.517 D_B: 0.385 G_B: 0.124 cycle_B: 4.094 idt_B: 1.394 median_A: 2.598 median_B: 4.115 
