================ Training Loss (Fri Sep 19 16:30:06 2025) ================
(epoch: 114, iters: 50, time: 0.052, data: 0.135) D_A: 0.451 G_A: 0.001 cycle_A: 2.909 idt_A: 1.843 D_B: 1.199 G_B: 0.428 cycle_B: 4.223 idt_B: 1.733 median_A: 3.149 median_B: 4.454 
(epoch: 116, iters: 50, time: 0.051, data: 0.140) D_A: 0.436 G_A: 0.020 cycle_A: 5.159 idt_A: 1.883 D_B: 1.031 G_B: 1.177 cycle_B: 4.228 idt_B: 1.685 median_A: 3.180 median_B: 4.267 
(epoch: 118, iters: 50, time: 0.051, data: 0.139) D_A: 0.165 G_A: 0.034 cycle_A: 4.813 idt_A: 1.891 D_B: 1.190 G_B: 0.299 cycle_B: 4.198 idt_B: 1.667 median_A: 3.222 median_B: 4.262 
(epoch: 120, iters: 50, time: 0.052, data: 0.137) D_A: 0.536 G_A: 0.000 cycle_A: 4.503 idt_A: 1.826 D_B: 0.992 G_B: 0.815 cycle_B: 4.192 idt_B: 1.647 median_A: 3.150 median_B: 4.273 
(epoch: 122, iters: 50, time: 0.052, data: 0.139) D_A: 0.363 G_A: 0.000 cycle_A: 3.859 idt_A: 1.822 D_B: 1.012 G_B: 0.613 cycle_B: 4.286 idt_B: 1.592 median_A: 3.079 median_B: 4.390 
(epoch: 124, iters: 50, time: 0.051, data: 0.140) D_A: 0.285 G_A: 0.066 cycle_A: 3.375 idt_A: 1.835 D_B: 0.621 G_B: 0.620 cycle_B: 4.212 idt_B: 1.553 median_A: 3.045 median_B: 4.354 
(epoch: 126, iters: 50, time: 0.051, data: 0.135) D_A: 0.062 G_A: 0.214 cycle_A: 4.207 idt_A: 1.772 D_B: 1.114 G_B: 1.327 cycle_B: 4.223 idt_B: 1.590 median_A: 3.000 median_B: 4.313 
(epoch: 128, iters: 50, time: 0.051, data: 0.141) D_A: 0.078 G_A: 0.088 cycle_A: 4.007 idt_A: 1.754 D_B: 0.651 G_B: 0.353 cycle_B: 4.317 idt_B: 1.489 median_A: 2.988 median_B: 4.361 
(epoch: 130, iters: 50, time: 0.051, data: 0.165) D_A: 0.313 G_A: 0.044 cycle_A: 3.197 idt_A: 1.815 D_B: 1.055 G_B: 1.176 cycle_B: 4.212 idt_B: 1.649 median_A: 2.985 median_B: 4.372 
(epoch: 132, iters: 50, time: 0.051, data: 0.142) D_A: 0.363 G_A: 0.034 cycle_A: 2.864 idt_A: 1.774 D_B: 0.553 G_B: 0.098 cycle_B: 4.257 idt_B: 1.894 median_A: 3.016 median_B: 4.456 
(epoch: 134, iters: 50, time: 0.052, data: 0.134) D_A: 0.279 G_A: 0.208 cycle_A: 2.909 idt_A: 1.832 D_B: 0.885 G_B: 0.103 cycle_B: 4.215 idt_B: 1.729 median_A: 2.991 median_B: 4.391 
(epoch: 136, iters: 50, time: 0.051, data: 0.140) D_A: 0.274 G_A: 1.228 cycle_A: 2.957 idt_A: 1.755 D_B: 0.593 G_B: 0.352 cycle_B: 4.035 idt_B: 1.691 median_A: 2.960 median_B: 4.269 
(epoch: 138, iters: 50, time: 0.051, data: 0.137) D_A: 0.608 G_A: 0.120 cycle_A: 3.542 idt_A: 1.724 D_B: 0.920 G_B: 0.064 cycle_B: 4.016 idt_B: 1.524 median_A: 3.019 median_B: 4.190 
(epoch: 140, iters: 50, time: 0.052, data: 0.140) D_A: 0.201 G_A: 0.268 cycle_A: 3.893 idt_A: 1.729 D_B: 0.675 G_B: 0.229 cycle_B: 4.130 idt_B: 1.512 median_A: 3.042 median_B: 4.262 
(epoch: 142, iters: 50, time: 0.052, data: 0.144) D_A: 0.160 G_A: 0.041 cycle_A: 4.132 idt_A: 1.702 D_B: 0.795 G_B: 0.387 cycle_B: 4.275 idt_B: 1.545 median_A: 3.068 median_B: 4.415 
(epoch: 144, iters: 50, time: 0.052, data: 0.138) D_A: 0.185 G_A: 0.001 cycle_A: 4.386 idt_A: 1.667 D_B: 0.953 G_B: 0.087 cycle_B: 4.137 idt_B: 1.630 median_A: 3.087 median_B: 4.222 
(epoch: 146, iters: 50, time: 0.051, data: 0.144) D_A: 0.706 G_A: 0.023 cycle_A: 4.443 idt_A: 1.674 D_B: 0.974 G_B: 0.135 cycle_B: 4.120 idt_B: 1.714 median_A: 3.127 median_B: 4.216 
(epoch: 148, iters: 50, time: 0.052, data: 0.133) D_A: 0.271 G_A: 0.048 cycle_A: 3.029 idt_A: 1.641 D_B: 0.945 G_B: 0.119 cycle_B: 4.164 idt_B: 1.580 median_A: 3.140 median_B: 4.492 
(epoch: 150, iters: 50, time: 0.051, data: 0.132) D_A: 0.533 G_A: 0.002 cycle_A: 3.743 idt_A: 1.994 D_B: 1.346 G_B: 0.410 cycle_B: 4.198 idt_B: 1.555 median_A: 3.054 median_B: 4.321 
(epoch: 152, iters: 50, time: 0.052, data: 0.137) D_A: 0.193 G_A: 0.144 cycle_A: 3.059 idt_A: 1.672 D_B: 1.670 G_B: 0.479 cycle_B: 4.217 idt_B: 1.564 median_A: 3.093 median_B: 4.529 
(epoch: 154, iters: 50, time: 0.051, data: 0.136) D_A: 0.723 G_A: 0.103 cycle_A: 3.170 idt_A: 1.639 D_B: 0.670 G_B: 0.000 cycle_B: 4.197 idt_B: 1.749 median_A: 3.058 median_B: 4.415 
(epoch: 156, iters: 50, time: 0.052, data: 0.137) D_A: 0.508 G_A: 1.112 cycle_A: 3.163 idt_A: 1.609 D_B: 0.805 G_B: 0.054 cycle_B: 4.233 idt_B: 1.766 median_A: 3.029 median_B: 4.482 
(epoch: 158, iters: 50, time: 0.052, data: 0.141) D_A: 0.048 G_A: 0.346 cycle_A: 3.156 idt_A: 1.585 D_B: 0.594 G_B: 0.056 cycle_B: 4.136 idt_B: 1.747 median_A: 3.046 median_B: 4.375 
(epoch: 160, iters: 50, time: 0.052, data: 0.135) D_A: 0.069 G_A: 0.042 cycle_A: 3.130 idt_A: 1.962 D_B: 0.683 G_B: 0.095 cycle_B: 4.087 idt_B: 1.862 median_A: 3.032 median_B: 4.321 
(epoch: 162, iters: 50, time: 0.052, data: 0.136) D_A: 0.028 G_A: 0.035 cycle_A: 2.935 idt_A: 1.631 D_B: 0.973 G_B: 0.176 cycle_B: 4.081 idt_B: 1.591 median_A: 2.982 median_B: 4.299 
(epoch: 164, iters: 50, time: 0.052, data: 0.133) D_A: 0.048 G_A: 0.563 cycle_A: 2.926 idt_A: 1.619 D_B: 0.572 G_B: 0.096 cycle_B: 4.110 idt_B: 1.564 median_A: 2.962 median_B: 4.279 
(epoch: 166, iters: 50, time: 0.052, data: 0.138) D_A: 1.479 G_A: 0.298 cycle_A: 2.916 idt_A: 1.580 D_B: 0.479 G_B: 0.024 cycle_B: 4.088 idt_B: 1.555 median_A: 2.970 median_B: 4.303 
(epoch: 168, iters: 50, time: 0.052, data: 0.137) D_A: 0.106 G_A: 0.716 cycle_A: 2.939 idt_A: 1.573 D_B: 1.201 G_B: 1.525 cycle_B: 4.394 idt_B: 1.585 median_A: 2.945 median_B: 4.571 
(epoch: 170, iters: 50, time: 0.052, data: 0.137) D_A: 0.103 G_A: 0.189 cycle_A: 2.911 idt_A: 1.552 D_B: 0.607 G_B: 0.681 cycle_B: 4.130 idt_B: 1.588 median_A: 2.948 median_B: 4.331 
(epoch: 172, iters: 50, time: 0.051, data: 0.138) D_A: 0.284 G_A: 0.000 cycle_A: 2.952 idt_A: 1.673 D_B: 0.539 G_B: 0.568 cycle_B: 4.141 idt_B: 1.635 median_A: 2.990 median_B: 4.359 
(epoch: 174, iters: 50, time: 0.051, data: 0.139) D_A: 0.040 G_A: 0.100 cycle_A: 2.902 idt_A: 1.563 D_B: 0.472 G_B: 0.532 cycle_B: 4.272 idt_B: 1.554 median_A: 2.926 median_B: 4.458 
(epoch: 176, iters: 50, time: 0.051, data: 0.136) D_A: 0.265 G_A: 0.089 cycle_A: 2.930 idt_A: 1.537 D_B: 0.712 G_B: 1.051 cycle_B: 4.055 idt_B: 1.661 median_A: 2.917 median_B: 4.297 
(epoch: 178, iters: 50, time: 0.052, data: 0.158) D_A: 0.173 G_A: 0.388 cycle_A: 2.926 idt_A: 1.528 D_B: 0.485 G_B: 0.624 cycle_B: 4.069 idt_B: 1.600 median_A: 2.923 median_B: 4.315 
(epoch: 180, iters: 50, time: 0.051, data: 0.132) D_A: 0.086 G_A: 0.319 cycle_A: 2.965 idt_A: 1.521 D_B: 0.838 G_B: 1.388 cycle_B: 4.047 idt_B: 1.647 median_A: 2.897 median_B: 4.302 
(epoch: 182, iters: 50, time: 0.051, data: 0.139) D_A: 0.353 G_A: 0.028 cycle_A: 2.990 idt_A: 1.610 D_B: 0.377 G_B: 0.442 cycle_B: 4.118 idt_B: 1.615 median_A: 2.889 median_B: 4.324 
(epoch: 184, iters: 50, time: 0.051, data: 0.137) D_A: 0.076 G_A: 0.211 cycle_A: 3.029 idt_A: 1.532 D_B: 0.340 G_B: 0.421 cycle_B: 4.055 idt_B: 1.647 median_A: 2.880 median_B: 4.245 
(epoch: 186, iters: 50, time: 0.052, data: 0.201) D_A: 0.244 G_A: 0.065 cycle_A: 3.109 idt_A: 1.531 D_B: 0.774 G_B: 1.276 cycle_B: 4.037 idt_B: 1.713 median_A: 2.914 median_B: 4.249 
(epoch: 188, iters: 50, time: 0.051, data: 0.139) D_A: 0.671 G_A: 0.845 cycle_A: 4.264 idt_A: 1.498 D_B: 0.319 G_B: 0.226 cycle_B: 4.249 idt_B: 2.636 median_A: 3.170 median_B: 4.527 
(epoch: 190, iters: 50, time: 0.052, data: 0.169) D_A: 0.251 G_A: 0.158 cycle_A: 3.488 idt_A: 1.501 D_B: 0.575 G_B: 1.007 cycle_B: 3.956 idt_B: 2.136 median_A: 2.898 median_B: 4.174 
(epoch: 192, iters: 50, time: 0.052, data: 0.147) D_A: 0.134 G_A: 0.187 cycle_A: 4.222 idt_A: 1.479 D_B: 0.282 G_B: 0.266 cycle_B: 4.045 idt_B: 2.516 median_A: 2.994 median_B: 4.330 
