================ Training Loss (Thu Sep 25 01:40:40 2025) ================
(epoch: 184, iters: 50, time: 0.235, data: 1.125) D_A: 1.293 G_A: 1.917 cycle_A: 10.163 idt_A: 4.071 D_B: 1.469 G_B: 0.050 cycle_B: 6.713 idt_B: 1.080 median_A: 10.166 median_B: 8.172 
(epoch: 186, iters: 50, time: 0.234, data: 1.137) D_A: 1.556 G_A: 0.495 cycle_A: 10.163 idt_A: 4.097 D_B: 4.348 G_B: 0.082 cycle_B: 6.715 idt_B: 1.119 median_A: 10.166 median_B: 8.386 
(epoch: 188, iters: 50, time: 0.233, data: 1.098) D_A: 3.284 G_A: 2.019 cycle_A: 10.163 idt_A: 8.552 D_B: 10.682 G_B: 0.094 cycle_B: 6.725 idt_B: 1.078 median_A: 10.166 median_B: 7.776 
(epoch: 190, iters: 50, time: 0.232, data: 1.031) D_A: 1.123 G_A: 1.019 cycle_A: 10.166 idt_A: 4.400 D_B: 8.255 G_B: 0.093 cycle_B: 6.723 idt_B: 1.132 median_A: 10.166 median_B: 7.584 
(epoch: 192, iters: 50, time: 0.235, data: 1.099) D_A: 0.377 G_A: 0.023 cycle_A: 10.167 idt_A: 4.383 D_B: 0.014 G_B: 0.097 cycle_B: 6.728 idt_B: 1.132 median_A: 10.167 median_B: 7.153 
(epoch: 194, iters: 50, time: 0.233, data: 0.208) D_A: 1.876 G_A: 0.032 cycle_A: 10.167 idt_A: 4.444 D_B: 1.398 G_B: 0.107 cycle_B: 6.736 idt_B: 1.031 median_A: 10.167 median_B: 6.543 
(epoch: 196, iters: 50, time: 0.232, data: 0.193) D_A: 0.452 G_A: 0.317 cycle_A: 10.168 idt_A: 4.289 D_B: 3.024 G_B: 0.106 cycle_B: 6.735 idt_B: 1.193 median_A: 10.168 median_B: 6.459 
(epoch: 198, iters: 50, time: 0.233, data: 0.238) D_A: 1.415 G_A: 3.770 cycle_A: 10.169 idt_A: 4.225 D_B: 0.446 G_B: 0.128 cycle_B: 6.735 idt_B: 1.255 median_A: 10.169 median_B: 6.366 
(epoch: 200, iters: 50, time: 0.234, data: 0.195) D_A: 0.948 G_A: 0.570 cycle_A: 10.169 idt_A: 4.165 D_B: 0.267 G_B: 0.126 cycle_B: 6.735 idt_B: 1.420 median_A: 10.169 median_B: 5.913 
(epoch: 202, iters: 50, time: 0.235, data: 0.196) D_A: 1.110 G_A: 1.453 cycle_A: 10.170 idt_A: 3.869 D_B: 0.409 G_B: 0.161 cycle_B: 6.738 idt_B: 1.609 median_A: 10.170 median_B: 5.796 
(epoch: 204, iters: 50, time: 0.234, data: 0.210) D_A: 2.324 G_A: 3.600 cycle_A: 10.171 idt_A: 3.869 D_B: 0.271 G_B: 0.151 cycle_B: 6.737 idt_B: 1.131 median_A: 10.171 median_B: 5.674 
(epoch: 206, iters: 50, time: 0.234, data: 0.213) D_A: 0.977 G_A: 0.009 cycle_A: 10.173 idt_A: 3.950 D_B: 0.291 G_B: 0.178 cycle_B: 6.735 idt_B: 1.174 median_A: 10.173 median_B: 5.623 
(epoch: 208, iters: 50, time: 0.235, data: 0.216) D_A: 0.912 G_A: 0.004 cycle_A: 10.176 idt_A: 4.003 D_B: 0.363 G_B: 0.171 cycle_B: 6.736 idt_B: 1.058 median_A: 10.176 median_B: 5.542 
(epoch: 210, iters: 50, time: 0.234, data: 0.205) D_A: 0.964 G_A: 0.049 cycle_A: 10.180 idt_A: 3.802 D_B: 1.168 G_B: 0.166 cycle_B: 6.733 idt_B: 1.225 median_A: 10.180 median_B: 6.010 
(epoch: 212, iters: 50, time: 0.234, data: 0.209) D_A: 0.915 G_A: 0.071 cycle_A: 10.184 idt_A: 3.718 D_B: 1.483 G_B: 0.175 cycle_B: 6.730 idt_B: 1.096 median_A: 10.184 median_B: 5.704 
(epoch: 214, iters: 50, time: 0.234, data: 0.237) D_A: 0.808 G_A: 0.032 cycle_A: 10.190 idt_A: 3.637 D_B: 0.117 G_B: 0.268 cycle_B: 6.725 idt_B: 1.130 median_A: 10.190 median_B: 5.693 
