================ Training Loss (Fri Sep 19 21:09:31 2025) ================
(epoch: 80, iters: 100, time: 0.226, data: 0.203) D_A: 0.304 G_A: 0.138 cycle_A: 9.115 idt_A: 2.897 D_B: 1.021 G_B: 0.058 cycle_B: 6.615 idt_B: 1.465 median_A: 9.282 median_B: 5.204 
(epoch: 81, iters: 100, time: 0.226, data: 0.204) D_A: 0.290 G_A: 0.019 cycle_A: 9.124 idt_A: 3.011 D_B: 0.190 G_B: 0.378 cycle_B: 5.666 idt_B: 1.111 median_A: 9.282 median_B: 5.175 
(epoch: 82, iters: 100, time: 0.224, data: 0.206) D_A: 0.309 G_A: 0.067 cycle_A: 9.169 idt_A: 2.796 D_B: 0.083 G_B: 0.284 cycle_B: 6.070 idt_B: 1.252 median_A: 9.397 median_B: 4.988 
(epoch: 83, iters: 100, time: 0.226, data: 0.216) D_A: 0.264 G_A: 0.107 cycle_A: 9.170 idt_A: 2.682 D_B: 0.416 G_B: 0.015 cycle_B: 5.815 idt_B: 1.338 median_A: 9.348 median_B: 4.881 
(epoch: 84, iters: 100, time: 0.226, data: 0.206) D_A: 0.255 G_A: 0.043 cycle_A: 9.191 idt_A: 2.678 D_B: 0.798 G_B: 0.044 cycle_B: 5.697 idt_B: 1.328 median_A: 9.354 median_B: 4.805 
(epoch: 85, iters: 100, time: 0.226, data: 0.209) D_A: 0.243 G_A: 0.289 cycle_A: 9.158 idt_A: 2.593 D_B: 2.935 G_B: 0.178 cycle_B: 5.706 idt_B: 1.208 median_A: 9.347 median_B: 4.703 
(epoch: 86, iters: 100, time: 0.225, data: 0.201) D_A: 0.210 G_A: 0.352 cycle_A: 9.151 idt_A: 2.714 D_B: 2.095 G_B: 0.268 cycle_B: 5.599 idt_B: 1.358 median_A: 9.311 median_B: 4.634 
(epoch: 87, iters: 100, time: 0.226, data: 0.205) D_A: 0.254 G_A: 0.134 cycle_A: 9.171 idt_A: 2.561 D_B: 0.096 G_B: 1.094 cycle_B: 6.028 idt_B: 0.985 median_A: 9.335 median_B: 4.536 
(epoch: 88, iters: 100, time: 0.226, data: 0.224) D_A: 0.243 G_A: 0.028 cycle_A: 9.192 idt_A: 2.655 D_B: 0.922 G_B: 0.236 cycle_B: 5.806 idt_B: 1.183 median_A: 9.339 median_B: 4.433 
(epoch: 89, iters: 100, time: 0.226, data: 0.202) D_A: 0.317 G_A: 0.064 cycle_A: 9.179 idt_A: 2.672 D_B: 1.125 G_B: 0.420 cycle_B: 5.938 idt_B: 0.913 median_A: 9.319 median_B: 4.422 
(epoch: 90, iters: 100, time: 0.226, data: 0.201) D_A: 0.299 G_A: 0.484 cycle_A: 9.151 idt_A: 2.666 D_B: 0.396 G_B: 1.328 cycle_B: 5.671 idt_B: 1.342 median_A: 9.298 median_B: 4.498 
(epoch: 91, iters: 100, time: 0.226, data: 0.209) D_A: 0.217 G_A: 0.206 cycle_A: 9.118 idt_A: 2.633 D_B: 0.635 G_B: 0.015 cycle_B: 5.461 idt_B: 1.230 median_A: 9.269 median_B: 4.415 
(epoch: 92, iters: 100, time: 0.225, data: 0.233) D_A: 0.218 G_A: 0.238 cycle_A: 9.149 idt_A: 2.605 D_B: 0.077 G_B: 0.954 cycle_B: 5.523 idt_B: 1.205 median_A: 9.266 median_B: 4.300 
(epoch: 93, iters: 100, time: 0.225, data: 0.205) D_A: 0.321 G_A: 0.589 cycle_A: 9.113 idt_A: 2.600 D_B: 0.014 G_B: 0.632 cycle_B: 5.838 idt_B: 1.361 median_A: 9.238 median_B: 4.397 
(epoch: 94, iters: 100, time: 0.225, data: 0.211) D_A: 0.197 G_A: 0.274 cycle_A: 9.160 idt_A: 2.535 D_B: 0.113 G_B: 0.950 cycle_B: 5.951 idt_B: 1.172 median_A: 9.228 median_B: 4.331 
(epoch: 95, iters: 100, time: 0.226, data: 0.236) D_A: 0.411 G_A: 0.010 cycle_A: 9.171 idt_A: 2.528 D_B: 0.073 G_B: 0.414 cycle_B: 5.499 idt_B: 1.319 median_A: 9.229 median_B: 4.209 
