set,Real_Score,Real_Rank,Syn_Score,Syn_Rank
positive regulation of double-strand break repair via homologous recombination (GO:1905168),0.9099927620988604,172.0,0.837290599788618,564.0
tRNA aminoacylation (GO:0043039),0.9097275336879159,173.0,1.1318564404141198,111.0
DNA replication (GO:0006260),0.9095587248685543,174.0,0.989032852974267,249.0
error-prone translesion synthesis (GO:0042276),0.9094341043496618,175.0,0.9774336064318764,260.0
neuron maturation (GO:0042551),0.9075601379467189,176.0,0.8080692556076043,646.0
tubulin complex assembly (GO:0007021),0.9075382394006999,177.0,1.3009988117224738,50.0
DNA replication checkpoint signaling (GO:0000076),0.9051070342714003,178.0,0.9761903326024409,263.0
pyrimidine nucleoside metabolic process (GO:0006213),0.9044088638027366,179.0,1.078663059722734,152.0
negative regulation of cellular respiration (GO:1901856),0.904372916603438,180.0,0.8420697408095098,545.0
T cell apoptotic process (GO:0070231),0.9040630082856671,181.0,1.2838035419668383,56.0
coenzyme A metabolic process (GO:0015936),0.9040110419425981,182.0,0.9828499939056173,254.0
"RNA phosphodiester bond hydrolysis, endonucleolytic (GO:0090502)",0.903999010711304,183.0,0.9496406115521463,309.0
negative regulation of cytokinesis (GO:0032466),0.9037203271635829,184.0,1.0000376382210234,235.0
import into nucleus (GO:0051170),0.9027842440792267,185.0,0.9813171276022635,255.0
regulation of chromatin organization (GO:1902275),0.9024855613277046,186.0,1.0626586393943402,170.0
regulation of gene silencing by RNA (GO:0060966),0.9015427826358594,187.5,1.1353406922606235,106.5
regulation of posttranscriptional gene silencing (GO:0060147),0.9015427826358594,187.5,1.1353406922606235,106.5
positive regulation of extracellular matrix assembly (GO:1901203),0.9013470556629603,189.0,1.0726166546972944,158.0
DNA replication-independent nucleosome organization (GO:0034724),0.9001805227503613,190.0,1.1749031006038695,87.0
regulation of metaphase/anaphase transition of cell cycle (GO:1902099),0.8981284826066412,191.0,0.8971546208131891,407.0
chromatin assembly or disassembly (GO:0006333),0.8979874215063692,192.0,1.0914880969544623,137.0
serine family amino acid biosynthetic process (GO:0009070),0.897942631823311,193.0,0.9911485755057481,246.0
positive regulation of mitotic cell cycle phase transition (GO:1901992),0.8972039607335468,194.0,0.9775779876832398,259.0
regulation of lipid kinase activity (GO:0043550),0.8962506248984877,195.0,0.9924917449560974,244.0
mitochondrial DNA metabolic process (GO:0032042),0.8937586739480624,196.0,0.9062772698072109,395.0
negative regulation of ryanodine-sensitive calcium-release channel activity (GO:0060315),0.8925078802203904,197.5,0.8617933481844998,500.5
negative regulation of release of sequestered calcium ion into cytosol (GO:0051280),0.8925078802203904,197.5,0.8617933481844998,500.5
positive regulation of protein polyubiquitination (GO:1902916),0.8924758932116725,199.0,0.727717426958141,974.0
"DNA-templated transcription, termination (GO:0006353)",0.8923367260575453,200.0,1.0266323926093386,207.0
negative regulation of meiotic nuclear division (GO:0045835),0.8915815554069958,201.0,1.031138563386445,204.0
transport along microtubule (GO:0010970),0.8914059067338279,202.0,1.1861480982906596,82.0
positive regulation of ligase activity (GO:0051351),0.8911863585521327,203.0,1.1269404550292013,113.0
chromatin-mediated maintenance of transcription (GO:0048096),0.8907069525713716,204.5,0.9413886133368365,321.5
chromatin organization involved in regulation of transcription (GO:0034401),0.8907069525713716,204.5,0.9413886133368365,321.5
nucleoside salvage (GO:0043174),0.8896178089282232,206.0,0.8263455936580522,598.0
negative regulation of intrinsic apoptotic signaling pathway by p53 class mediator (GO:1902254),0.8895278014377812,207.0,1.106883327008224,128.0
positive regulation of transporter activity (GO:0032411),0.8892726752994425,208.0,0.8346104060958676,576.0
regulation of chemokine-mediated signaling pathway (GO:0070099),0.8888463539305916,209.0,0.9188356091300589,370.0
mRNA pseudouridine synthesis (GO:1990481),0.8875025949317695,210.0,1.2431392733995263,65.0
nucleosome assembly (GO:0006334),0.8869927667289877,211.0,1.1090359576496769,127.0
acid secretion (GO:0046717),0.8863910638262604,212.0,0.5979448969646374,1796.0
regulation of mitotic metaphase/anaphase transition (GO:0030071),0.8845307092295231,213.0,0.9539631552732956,300.0
amine transport (GO:0015837),0.8837447962325535,214.0,0.9143980933950362,376.0
mitotic nuclear membrane disassembly (GO:0007077),0.8829754428896516,215.0,0.7846870220858261,719.0
late nucleophagy (GO:0044805),0.8826742457436506,216.0,1.0901243402024672,142.0
DNA biosynthetic process (GO:0071897),0.8802916110847566,217.0,1.0553094917427879,176.0
mitotic cytokinesis (GO:0000281),0.8798589820068153,218.0,0.9007762221818005,402.0
protein localization to vacuole (GO:0072665),0.8796358765254202,219.0,0.9344384824046573,334.0
positive regulation of T-helper 2 cell differentiation (GO:0045630),0.87921327199582,220.0,0.8901258357332235,428.0
replication-born double-strand break repair via sister chromatid exchange (GO:1990414),0.8787176290840201,221.0,1.174116298352503,88.0
regulation of microtubule depolymerization (GO:0031114),0.8770497577566508,222.0,0.9456611059646295,315.0
regulation of cyclin-dependent protein kinase activity (GO:1904029),0.8765241663828877,223.0,0.9998104768237313,236.0
epiboly involved in wound healing (GO:0090505),0.8764663034918286,224.0,0.8458449113486871,534.0
negative regulation of protein depolymerization (GO:1901880),0.8763024116772624,225.0,0.9295477418494689,346.0
DNA unwinding involved in DNA replication (GO:0006268),0.8728414199902034,226.0,0.8581458354130682,505.0
regulation of nuclear cell cycle DNA replication (GO:0033262),0.8721329391128257,227.0,0.9074981228122952,393.0
alpha-beta T cell activation (GO:0046631),0.8712058987195146,228.0,0.9071855308012633,394.0
